	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L2_CD49a	L3_CD49a
RP24-467J24.1	1	0	1	0	1	1	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	0	0	0	18	1	6	0	0	13	0
Gm24173	0	0	0	0	0	0	0	0	0	0	0
RP24-427A3.1	0	1	1	1	0	3	0	0	0	0	0
RP23-366M5.2	0	0	0	0	0	0	0	0	0	0	0
AC103635.1	0	0	0	0	1	0	0	0	0	0	0
RP23-2K13.1	0	0	0	1	0	0	0	0	1	1	0
RP24-467J24.2	0	0	0	0	0	0	0	0	0	0	0
RP24-239K20.1	0	0	0	0	0	0	0	0	0	0	0
RP23-334J7.1	2	1	0	1	0	0	1	0	0	0	2
Gm22633	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0
RP23-138D5.1	0	1	2	3	1	1	3	2	5	0	1
RP24-331K22.1	0	0	0	0	0	0	0	0	0	0	0
RP24-331K22.3	0	0	0	0	0	0	0	0	0	0	0
RP24-331K22.2	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	2	1	4	28	0	0	0	15	0
Slco5a1	0	12	0	0	6	7	11	9	18	0	0
RP24-178B14.2	0	0	0	0	0	0	0	0	0	0	0
RP24-178B14.3	0	0	0	0	1	0	0	0	0	0	0
RP24-178B14.1	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	1	0	6	4	5	2	0	8	1	0
Ncoa2	1109	1300	543	2976	3544	3294	1079	1525	1087	2578	1936
RP23-93D12.2	24	16	9	14	11	34	9	9	16	19	22
RP23-93D12.1	5	14	4	8	5	6	14	0	3	11	6
Gm27881	1	0	0	0	0	0	0	0	0	0	0
RP23-125I14.4	0	4	0	2	0	0	1	0	2	2	2
RP23-125I14.3	4	0	2	6	5	7	10	4	3	7	7
Gm23169	0	0	0	0	0	0	0	0	0	0	0
RP23-125I14.2	14	21	9	20	16	29	34	28	21	10	15
RP23-125I14.1	14	14	7	21	24	27	34	45	22	25	14
RP23-125I14.5	0	0	0	9	0	0	0	0	0	0	0
RP23-125I14.6	0	1	0	0	1	0	0	0	0	0	0
Tram1	2682	2139	1245	4454	4739	4279	2816	2683	2284	4244	3608
Lactb2	442	203	174	326	227	338	505	401	468	372	355
RP23-70F22.2	17	13	13	23	8	12	53	22	15	16	3
Xkr9	0	0	0	3	4	0	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0
RP23-70F22.1	6	3	1	5	5	4	8	1	5	11	12
RP23-74B7.1	0	0	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0
RP24-335B5.1	0	0	0	0	0	0	0	0	0	0	0
Eya1	15	0	8	0	1	3	8	0	3	0	17
Gm22616	0	0	0	0	0	0	0	0	0	0	0
RP24-291C20.1	0	0	0	0	0	0	0	0	0	0	0
RP24-356G6.1	0	0	0	0	2	0	0	0	0	1	0
Msc	7	17	2	18	11	31	3	11	0	27	19
RP23-398C14.1	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	0	0	0	0	0	0	0	0	0	0	0
Rpl5-ps1	45	36	22	21	13	33	50	60	56	33	49
Trpa1	0	0	0	0	0	11	0	0	0	0	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0
RP23-143L15.1	1	1	2	2	1	1	3	2	0	2	2
Kcnb2	0	0	0	1	0	0	0	0	0	0	0
RP23-445B17.1	0	0	0	0	0	0	0	0	0	0	0
RP24-66C10.4	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0
RP23-325F17.2	4	0	1	0	0	0	3	4	0	0	0
RP23-325F17.1	0	0	0	0	0	0	0	0	0	0	0
Terf1	503	457	343	725	585	653	509	587	443	553	511
RP23-325F17.4	0	0	0	0	0	2	0	1	0	0	0
Sbspon	0	0	0	0	0	0	1	0	1	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0
RP24-178O17.1	3	0	1	0	1	1	0	0	1	2	1
AC162442.2	0	0	0	0	1	0	0	0	0	0	0
Rpl7	21595	15771	11714	11277	9110	13301	22218	22423	18853	17688	16995
Rdh10	113	121	78	240	130	174	80	81	81	129	100
RP24-178O17.2	0	0	0	0	0	0	0	0	0	0	0
RP24-73D23.1	0	0	0	0	0	0	0	0	0	0	0
Stau2	38	11	24	47	34	74	7	1	9	25	37
AC167117.2	0	0	0	0	0	0	0	0	0	0	0
Ube2w	811	709	431	966	727	792	1024	682	712	855	648
RP23-382H8.2	30	20	10	18	12	17	28	22	29	16	24
Eloc	3490	2483	1844	2347	1808	2638	3652	3124	3007	3149	2657
RP23-382H8.4	0	0	0	0	0	0	0	0	0	0	1
RP23-382H8.5	0	0	0	0	0	0	0	0	0	0	0
Tmem70	2652	1772	1389	1417	1009	1451	2796	2233	2048	1971	1700
Ly96	11	20	16	29	32	33	12	23	26	49	49
RP23-470P10.1	0	0	0	0	0	0	0	0	0	0	0
RP23-470P10.2	0	1	1	3	5	1	2	5	1	0	1
RP24-254D14.3	0	0	0	0	0	0	0	0	0	0	0
RP24-254D14.1	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	0	0	0	0	0	0	0	0
RP23-110G23.2	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	0	0	0	0	0	0
RP24-317E22.1	0	0	0	0	0	0	0	0	0	0	0
RP24-317E22.2	0	0	0	0	0	0	0	0	0	0	0
RP23-215C21.1	1	0	1	1	0	0	1	0	1	1	0
Rbm6-ps1	2	3	6	2	2	0	1	1	0	7	1
RP23-215C21.3	2	0	0	1	1	4	2	7	2	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0
Pi15	3	0	0	1	1	0	0	0	0	0	0
RP23-329F7.2	0	0	0	0	0	0	0	0	0	0	1
AC104917.1	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0
RP23-329F7.3	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.1	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.3	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.4	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.6	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.2	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.5	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0
RP24-108N24.2	2	1	1	2	1	1	0	0	0	1	0
RP24-284D7.1	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0
RP23-122B3.1	0	0	0	0	0	0	0	0	0	0	0
RP23-122B3.2	0	0	0	0	0	0	0	0	0	0	0
AC098736.3	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0
AC098736.2	0	0	1	0	1	0	0	0	2	0	0
Tfap2b	3	4	5	2	1	3	1	3	4	6	0
RP24-119I6.2	0	0	0	0	0	0	0	0	0	0	0
RP24-119I6.4	0	0	0	0	0	0	0	0	0	0	0
RP24-119I6.5	9	5	4	5	2	7	9	7	7	4	6
Gm24633	0	0	0	0	0	0	0	0	0	0	0
RP24-132H2.1	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0	0	0	0
RP23-245C4.1	0	0	0	0	0	0	0	0	0	0	0
AC101789.2	0	0	0	0	0	0	0	0	0	0	0
AC101789.1	0	0	1	0	0	0	1	1	0	0	4
Gm24162	0	0	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0
Il17a	314	307	155	73	34	62	21	5	19	5	46
Il17f	560	753	176	36	67	85	122	93	61	28	48
Mcm3	2088	1565	911	1504	1580	1523	1239	1353	1262	1570	1374
RP23-191A12.1	0	0	0	0	0	0	0	0	0	0	1
RP23-191A12.2	0	0	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0
RP23-191A12.5	0	0	0	1	0	0	0	0	0	0	0
Paqr8	10	10	1	67	59	46	23	2	0	41	25
Gm24171	0	0	0	0	0	1	0	0	0	0	0
RP23-191A12.6	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	3	0	0	0	8	0	0	0	0	0
Tram2	44	21	13	77	93	55	30	45	47	108	61
RP24-278K16.1	0	0	0	0	0	0	0	0	0	0	0
RP23-80N7.1	0	0	0	0	0	0	0	0	0	0	0
Tmem14a	9	14	2	6	8	14	3	0	12	14	3
RP23-278E1.4	0	0	1	0	0	0	0	1	0	0	0
Gsta3	10	3	4	15	3	1	0	0	1	3	6
RP23-80N7.2	0	0	0	0	1	0	1	1	0	0	1
RP23-278E1.5	0	0	0	0	0	0	0	0	0	0	0
RP23-278E1.2	2	2	0	0	3	7	0	0	0	43	16
RP23-278E1.3	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0
AC115920.6	0	0	0	0	0	0	0	0	0	0	0
AC115920.7	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	1	0	0	0	0	0	0
AC115920.8	0	0	0	0	0	0	0	0	0	0	0
AC115920.9	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	3	2	1	0	0	0	0	0	0	5	0
AC115920.4	0	0	0	0	0	0	1	0	2	0	0
Kcnq5	466	355	296	194	112	221	432	424	432	161	229
RP24-496H1.1	5	13	17	9	0	2	33	16	20	11	13
AC115920.2	36	29	57	23	16	36	36	44	40	41	32
RP23-322P13.2	2	18	16	7	1	7	40	7	22	4	0
Gm26580	384	664	383	155	125	211	547	422	570	249	185
RP24-78G8.1	0	0	0	1	0	0	0	0	0	0	0
RP24-261D2.1	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	1	0	0	0	0	0	0	0
RP23-42E3.1	0	0	0	0	0	0	0	0	0	0	0
RP24-495G2.1	0	0	0	0	0	0	0	0	0	0	0
RP24-495G2.2	0	0	0	0	0	0	0	0	0	0	0
RP24-163I14.1	0	0	0	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.5	0	0	0	0	0	0	1	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.7	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.8	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.9	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	65	80	61	59	83	85	61	46	89	76	72
RP24-361E14.1	0	0	0	2	0	2	3	2	0	0	0
RP23-25K16.1	0	0	0	0	0	0	0	0	0	0	0
B3gat2	2	7	3	14	5	5	12	4	7	6	0
Smap1	373	336	267	439	360	492	386	398	403	587	337
Sdhaf4	171	145	83	125	71	129	254	222	223	185	181
RP24-287C19.1	0	1	0	0	0	0	0	0	0	0	0
Fam135a	14	3	7	32	7	51	0	0	3	42	0
RP23-255J24.2	0	0	0	0	0	0	0	0	0	0	0
RP23-255J24.1	0	0	0	0	0	0	0	0	0	0	0
Col9a1	0	0	0	0	0	0	0	0	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	0	1
Gm26418	0	0	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	1	1	1	1	0	1	1	0	1	0	0
RP23-8J15.7	0	0	0	0	1	0	0	0	0	0	0
RP23-8J15.6	0	0	1	0	0	0	0	0	1	1	0
RP23-8J15.5	1	2	1	0	0	1	26	0	2	1	2
RP23-8J15.4	2	1	0	0	0	2	12	2	2	0	0
RP23-8J15.3	1	2	0	0	1	0	1	1	1	2	1
RP23-8J15.2	1	0	0	1	0	0	0	1	1	0	1
RP23-8J15.1	2	2	1	4	2	0	0	2	1	5	3
Lmbrd1	1044	1148	659	1859	1904	2172	1249	1295	1172	1975	1476
RP23-109H7.1	0	0	0	0	0	0	0	0	0	0	0
RP24-178K6.1	0	0	0	0	0	0	0	0	0	0	0
RP24-178K6.2	0	1	0	1	0	0	0	1	0	1	0
RP24-178K6.3	0	0	0	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0	0	0	0	0	0
AC122187.1	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.4	0	0	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.3	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.2	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.5	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.6	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.7	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.8	0	0	0	0	0	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0	0	0	0
RP23-347F2.2	0	0	0	0	0	0	0	0	0	0	0
RP23-347F2.3	0	0	0	0	0	0	0	0	0	0	0
RP23-347F2.1	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.2	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.1	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.3	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.2	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.3	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.4	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.5	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.6	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.7	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.8	0	0	0	0	0	0	0	0	0	0	0
RP23-184I13.1	0	0	0	0	0	0	0	0	0	0	0
RP24-228I17.1	0	0	0	0	0	0	0	0	0	0	0
RP24-264B17.1	0	0	0	0	0	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0	0	0	0	0	0
RP24-338N17.1	0	0	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0	0	0
RP23-76B18.1	0	0	0	0	0	0	0	0	0	0	0
RP24-176K12.1	0	0	0	0	1	0	0	0	1	0	1
RP24-176K12.2	0	0	0	0	0	0	0	0	0	0	0
RP23-12H12.1	2	0	2	0	0	0	0	0	0	1	1
RP23-19M20.2	0	0	0	0	0	0	0	0	0	0	0
AC122186.1	54	42	22	43	22	36	44	53	47	44	39
Gm597	0	0	0	0	0	0	0	0	0	0	0
AC121566.1	0	2	1	0	0	1	0	0	0	1	0
RP24-365G17.1	0	0	0	0	0	0	0	0	0	0	0
RP24-430C1.1	0	0	0	0	0	0	0	0	0	0	0
Gm25586	0	0	0	0	0	0	0	0	0	0	0
Gm22679	0	0	0	0	0	0	0	0	0	0	0
Gm23785	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0
RP23-313K8.2	22	13	22	9	13	10	19	20	15	14	11
RP24-229N7.1	1	0	0	0	0	0	0	0	0	0	0
Gm23771	0	0	0	0	0	0	0	0	0	0	0
Gm27430	0	0	0	0	0	0	0	0	0	0	0
RP24-172B22.1	0	0	0	0	0	0	0	0	0	0	0
RP24-172B22.2	0	0	0	0	0	0	0	0	0	0	0
RP24-172B22.4	0	0	0	0	0	0	0	0	0	0	0
Phf3	1726	1809	1052	2140	2312	2337	1982	1395	1561	2092	1785
RP24-172B22.6	4	5	5	5	11	9	5	8	2	3	8
RP23-471J16.2	8	6	23	12	3	13	31	16	32	12	12
Ptp4a1	2277	1649	1078	2700	2554	2813	2079	2046	1710	2478	1967
AC153137.2	0	0	0	0	0	0	0	0	0	0	0
AC121911.1	0	0	0	0	0	0	0	0	0	0	0
AC121911.2	0	0	0	0	0	0	0	3	0	0	0
RP24-173I18.1	0	0	0	0	0	0	0	0	0	0	0
RP24-173I18.2	0	0	0	0	0	0	0	0	0	0	0
Gm27362	0	0	0	0	0	0	0	0	0	0	0
AC121888.2	0	0	0	0	0	0	0	0	0	0	0
RP24-421A2.2	0	0	0	0	0	0	0	0	0	0	0
RP24-421A2.1	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	1	0	3	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0	0	0
RP24-142M5.2	0	0	0	0	0	0	0	0	0	0	0
RP24-142M5.3	0	0	0	0	0	0	0	0	0	0	0
RP24-142M5.1	0	0	0	0	0	1	0	0	0	0	0
RP24-342F15.1	0	0	0	0	0	0	0	0	0	0	0
RP24-270O22.1	0	1	0	0	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0	0	0	0
AC134327.1	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	2	0	0	0	0
Gm25814	0	0	0	0	0	0	0	0	0	0	0
RP23-109J14.2	0	0	0	0	0	0	0	0	0	0	0
RP23-109J14.3	0	0	0	0	0	0	0	0	0	0	0
RP23-109J14.5	0	0	0	0	0	0	0	0	0	0	0
RP24-390L20.1	0	0	0	0	0	0	0	0	0	0	0
RP24-390L20.5	0	0	0	0	0	0	0	0	0	0	0
RP24-390L20.3	0	0	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0	0	0
RP23-28G12.2	0	0	0	0	0	0	0	0	0	0	0
Gm23024	0	0	0	0	0	0	0	0	0	0	0
RP23-144E24.1	0	0	0	0	0	0	0	0	0	0	0
RP23-75G11.1	0	0	0	0	0	0	0	0	0	0	0
RP23-75G11.4	0	0	0	0	0	0	0	0	0	0	0
RP23-75G11.2	0	1	0	0	0	0	0	1	0	0	0
RP23-75G11.3	0	0	0	0	0	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0	0	0	0
RP23-154N2.3	0	0	0	0	0	0	0	0	0	0	0
RP23-154N2.2	0	0	0	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0	0	0	0
RP23-443F6.1	0	0	0	0	0	0	0	0	0	0	0
RP23-125B4.2	0	0	0	0	0	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0	0	0	0	0	0
Prim2	138	131	104	129	138	189	134	145	138	154	101
RP23-125B4.3	3	2	1	0	0	2	5	2	5	8	3
RP24-423J19.3	0	0	0	0	0	0	1	0	0	0	0
RP24-423J19.6	1	3	0	1	1	0	0	0	0	1	0
RP24-423J19.1	8	4	0	0	0	3	1	6	7	7	5
RP24-423J19.7	7	0	0	0	0	0	0	0	0	0	0
Rab23	268	125	97	228	219	217	258	245	177	297	229
Bag2	643	465	327	127	130	179	598	412	477	292	229
RP23-32P22.1	0	0	0	0	0	0	1	1	1	1	1
Zfp451	1551	1531	875	1645	1477	1582	1503	1628	1493	1417	1379
AC163668.5	4	1	1	3	0	8	1	3	3	2	0
Bend6	0	7	3	1	9	4	5	0	5	10	5
RP23-32P22.2	0	0	0	0	0	0	0	0	0	0	0
Dst	125	62	56	116	117	144	68	67	65	76	105
